,id,station_name,line,station_url
29,31,Salak Selatan,Sri Petaling,"https://www.google.com/maps/place/Salak+Selatan/@3.1020978,101.7037712,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4a0805c6800d:0x1292be2f774977ae!8m2!3d3.1020978!4d101.7063461!16s%2Fm%2F026mhmm?entry=ttu"
30,32,Bandar Tun Razak,Sri Petaling,"https://www.google.com/maps/place/Bandar+Tun+Razak/@3.0896481,101.7098643,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc358c80963255:0xb62443244d54cdc6!8m2!3d3.0896481!4d101.7124392!16s%2Fm%2F026mhn9?entry=ttu"
31,33,Bandar Tasik Selatan,Sri Petaling,"https://www.google.com/maps/place/Bandar+Tasik+Selatan/@3.07611,101.7082551,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc35813ca1c6d3:0xe95eb1e9bdcc29b1!8m2!3d3.07611!4d101.71083!16s%2Fm%2F0265cnh?entry=ttu"
32,34,Sungai Besi,Sri Petaling,"https://www.google.com/maps/place/Sungai+Besi/@3.0639386,101.7054322,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc357d410125b3:0x48700a5d52c4f704!8m2!3d3.0639386!4d101.7080071!16s%2Fm%2F026mhqc?entry=ttu"
33,35,Bukit Jalil,Sri Petaling,"https://www.google.com/maps/place/Bukit+Jalil+(SP17)/@3.0582,101.6895451,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4a912ebf91d9:0x175dafa315f77cc6!8m2!3d3.0582!4d101.69212!16s%2Fg%2F1tf3wwmf?entry=ttu"
34,36,Sri Petaling,Sri Petaling,"https://www.google.com/maps/place/Sri+Petaling/@3.06144,101.6844951,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4a925f32fa79:0x2a4b897508421baa!8m2!3d3.06144!4d101.68707!16s%2Fg%2F11c700sk4k?entry=ttu"
35,37,Awan Besar,Sri Petaling,"https://www.google.com/maps/place/Awan+Besar/@3.0608641,101.6623266,15z/data=!4m6!3m5!1s0x31cc4ae5410190ad:0xc0b134dc52535054!8m2!3d3.0621113!4d101.6706325!16s%2Fg%2F11bwf24xqk?entry=ttu"
36,38,Muhibbah,Sri Petaling,"https://www.google.com/maps/place/Muhibbah/@3.0619788,101.659896,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4ae2bfada2b1:0x44c4ccd3a58acbba!8m2!3d3.0619788!4d101.6624709!16s%2Fg%2F11bwcrk_l1?entry=ttu"
37,39,Alam Sutera,Sri Petaling,"https://www.google.com/maps/place/Alam+Sutera/@3.0546753,101.6539575,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4b1f4782c36d:0x36cb46259c075dcc!8m2!3d3.0546753!4d101.6565324!16s%2Fg%2F11bwcdy290?entry=ttu"
38,40,Kinrara BK5,Sri Petaling,"https://www.google.com/maps/place/Kinrara+Bk5/@3.0504458,101.6417044,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4b3e9d819f1d:0x9ed46835ad4df55f!8m2!3d3.0504458!4d101.6442793!16s%2Fg%2F11bwcphvkz?entry=ttu"
39,41,IOI Puchong Jaya,Sri Petaling,"https://www.google.com/maps/place/IOI+Puchong+Jaya/@3.0480756,101.6183908,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4b595c7cb93d:0xc2862c0459a2dbef!8m2!3d3.0480756!4d101.6209657!16s%2Fg%2F11cjh__kwq?entry=ttu"
40,42,Pusat Bandar Puchong,Sri Petaling,"https://www.google.com/maps/place/Pusat+Bandar+Puchong/@3.0331607,101.6135076,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdb4aaa1dcbb65:0x6e63832769c420e3!8m2!3d3.0331607!4d101.6160825!16s%2Fg%2F11c43mzzvr?entry=ttu"
41,43,Taman Perindustrian Puchong,Sri Petaling,"https://www.google.com/maps/place/Taman+Perindustrian+Puchong/@3.0222506,101.6130209,19.5z/data=!4m10!1m2!2m1!1sTaman+Perindustrian+Puchong+lrt!3m6!1s0x31cdb3584fc7c55d:0xf704a27aada83e36!8m2!3d3.022844!4d101.6134397!15sCh9UYW1hbiBQZXJpbmR1c3RyaWFuIFB1Y2hvbmcgbHJ0WiEiH3RhbWFuIHBlcmluZHVzdHJpYW4gcHVjaG9uZyBscnSSAQl0cmFtX3N0b3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTVielYxU1V4QkVBReABAA!16s%2Fg%2F11cjj0xgbb?entry=ttu"
42,44,Bandar Puteri,Sri Petaling,"https://www.google.com/maps/place/Bandar+Puteri/@3.0170271,101.6128574,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdb35e54c3a119:0xd565f212327d871e!8m2!3d3.0170271!4d101.6128574!16s%2Fg%2F11clgm7bdn?entry=ttu"
43,45,Puchong Perdana,Sri Petaling,"https://www.google.com/maps/place/Puchong+Perdana/@3.0076019,101.6047112,19.75z/data=!4m14!1m7!3m6!1s0x31cdb36584b00d23:0x7ab7df58c138170e!2sPuchong+Perdana+LRT+Station!8m2!3d3.0078465!4d101.6050702!16s%2Fg%2F11clgj6txv!3m5!1s0x31cdb36584e824bd:0xfa0866ebcd9e6a3d!8m2!3d3.007913!4d101.605021!16s%2Fg%2F11bzyr2lnr?entry=ttu"
44,46,Puchong Prima,Sri Petaling,"https://www.google.com/maps/place/Puchong+Prima/@2.9998215,101.5965879,20.5z/data=!4m14!1m7!3m6!1s0x31cdb37470c1cefb:0x82cd18ea0d2cc1d1!2sLRT+Puchong+Prima!8m2!3d2.9998558!4d101.5967161!16s%2Fg%2F11dfsvf7hd!3m5!1s0x31cdb37470ede1ed:0x60a3a9c2bf9c7a4d!8m2!3d2.999808!4d101.596692!16s%2Fg%2F11cjj7xprh?entry=ttu"
45,47,Putra Heights,Sri Petaling,"https://www.google.com/maps/place/Putra+Heights/@2.996016,101.5729461,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdb300ae5e2c4d:0xab7a77a3cbf308c5!8m2!3d2.996016!4d101.575521!16s%2Fm%2F0_ql9hx?entry=ttu"
46,48,Gombak,Kelana Jaya,"https://www.google.com/maps/place/Gombak/@3.230957,101.7216161,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc388a1ec17041:0x2a9583dc4824c370!8m2!3d3.230957!4d101.724191!16s%2Fg%2F1hc458qcl?entry=ttu"
47,49,Taman Melati,Kelana Jaya,"https://www.google.com/maps/place/Taman+Melati/@3.2195556,101.7193203,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc386f654783db:0x26205ea16e77d123!8m2!3d3.2195556!4d101.7218952!16s%2Fm%2F02669hm?entry=ttu"
48,50,Wangsa Maju,Kelana Jaya,"https://www.google.com/maps/place/Wangsa+Maju/@3.2051525,101.7319362,18.75z/data=!4m14!1m7!3m6!1s0x31cc383e7a6283ab:0xcfa9a2017d82c984!2sWangsa+Maju!8m2!3d3.205606!4d101.731913!16s%2Fg%2F11d_899s9d!3m5!1s0x31cc383e70002a5f:0x1f8707688a61df83!8m2!3d3.2057252!4d101.7318243!16s%2Fm%2F02669gy?entry=ttu"
49,51,Sri Rampai,Kelana Jaya,"https://www.google.com/maps/place/Sri+Rampai/@3.1985996,101.7364633,18.5z/data=!4m14!1m7!3m6!1s0x31cc3824dcd0315f:0x3cfe3a1b4fc5f10!2sLRT+Sri+Rampai!8m2!3d3.19918!4d101.73747!16s%2Fg%2F11vf8r6j94!3m5!1s0x31cc3824c2e166f5:0x84c8c9c58d3e6da8!8m2!3d3.1989382!4d101.7374781!16s%2Fg%2F11bc6ty5sc?entry=ttu"
50,52,Setiawangsa,Kelana Jaya,"https://www.google.com/maps/place/Setiawangsa+LRT+station/@3.1756,101.7331601,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x31cc379152fe41bb:0x1f7328dbfa1b06a1!2sLRT+Setiawangsa!8m2!3d3.17576!4d101.73584!16s%2Fg%2F11vbzqt3n8!3m5!1s0x31cc3796acb67b43:0xcf9b2041d301667b!8m2!3d3.1756!4d101.735735!16s%2Fm%2F02669g7?entry=ttu"
51,53,Jelatek,Kelana Jaya,"https://www.google.com/maps/place/Jelatek/@3.16734,101.7327751,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc37bc274e731f:0x415981c97bf0be4!8m2!3d3.16734!4d101.73535!16s%2Fm%2F02669dj?entry=ttu"
52,54,Dato' Keramat,Kelana Jaya,"https://www.google.com/maps/place/KL2311+LRT+Dato'+Keramat/@3.1647456,101.7314368,19.75z/data=!4m14!1m7!3m6!1s0x31cc37b8da996465:0xb0cf720f8d4d932c!2sDato'+Keramat!8m2!3d3.1650619!4d101.7318535!16s%2Fg%2F1tgpkjk1!3m5!1s0x31cc37b8c55b5479:0x380820dc4e6a8634!8m2!3d3.16515!4d101.7316!16s%2Fm%2F02669cv?entry=ttu"
53,55,Damai,Kelana Jaya,"https://www.google.com/maps/place/Damai/@3.1645689,101.7241378,20.25z/data=!4m7!3m6!1s0x31cc37c699174f2d:0x10c0783705c43f67!4b1!8m2!3d3.1645052!4d101.724458!16s%2Fg%2F1td02k30?entry=ttu"
54,56,Ampang Park,Kelana Jaya,"https://www.google.com/maps/place/Ampang+Park/@3.1600785,101.7186794,19.5z/data=!4m10!1m2!2m1!1slrt+ampang+park!3m6!1s0x31cc37cfe83367cd:0x4e1b6df0610ffdcb!8m2!3d3.1598473!4d101.7191!15sCg9scnQgYW1wYW5nIHBhcmuSAQ10cmFpbl9zdGF0aW9u4AEA!16s%2Fm%2F02669bg?entry=ttu"
55,57,KLCC,Kelana Jaya,"https://www.google.com/maps/place/KLCC+LRT+Station/@3.1589522,101.7111546,17z/data=!4m10!1m2!2m1!1slrt+klcc!3m6!1s0x31cc37d0e72da717:0xec5e2bc8b52a784e!8m2!3d3.1589645!4d101.7141691!15sCghscnQga2xjY5IBCGJ1c19zdG9w4AEA!16s%2Fm%2F0264bs9?entry=ttu"
56,58,Kampung Baru,Kelana Jaya,"https://www.google.com/maps/place/Kampung+Baru/@3.16139,101.70661,17z/data=!4m6!3m5!1s0x31cc4827fef881e9:0xb8517d5f3ebeb49b!8m2!3d3.16139!4d101.70661!16s%2Fm%2F02669b3?entry=ttu"
57,59,Dang Wangi,Kelana Jaya,"https://www.google.com/maps/place/Dang+Wangi/@3.1560214,101.7021335,18.5z/data=!4m14!1m7!3m6!1s0x31cc482bd8e776e9:0x8757bbf4dc7e6!2sLRT+Dang+Wangi!8m2!3d3.156242!4d101.7029884!16s%2Fm%2F0264g29!3m5!1s0x31cc48295f50e873:0x1fcfb8049a799158!8m2!3d3.15634!4d101.70224!16s%2Fg%2F1hc5q2xmb?entry=ttu"
58,61,Pasar Seni,Kelana Jaya,"https://www.google.com/maps/place/Pasar+Seni/@3.14229,101.6929851,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc49d01d3a37eb:0xb06db6494a54ba4b!8m2!3d3.14229!4d101.69556!16s%2Fm%2F0266992?entry=ttu"
59,62,KL Sentral,Kelana Jaya,"https://www.google.com/maps/place/KL+Sentral/@3.1422899,101.6852603,15z/data=!4m10!1m2!2m1!1slrt+kl+sentral!3m6!1s0x31cc49c0442ff9a7:0xdec2e43a59380537!8m2!3d3.13417!4d101.68611!15sCg5scnQga2wgc2VudHJhbJIBD3RyYW5zaXRfc3RhdGlvbuABAA!16zL20vMDFfYzY4?entry=ttu"
60,63,Bangsar,Kelana Jaya,"https://www.google.com/maps/place/Bangsar/@3.1276507,101.679149,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc49940560e81b:0x56b12323d109067f!8m2!3d3.1276507!4d101.679149!16s%2Fm%2F02614t0?entry=ttu"
61,64,Abdullah Hukum,Kelana Jaya,"https://www.google.com/maps/place/Abdullah+Hukum/@3.1186831,101.6702991,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc498f61117595:0x2364f353e53522e4!8m2!3d3.1186831!4d101.672874!16s%2Fm%2F02669l0?entry=ttu"
62,65,Kerinchi,Kelana Jaya,"https://www.google.com/maps/place/Kerinchi+(KJ18)/@3.1154385,101.667571,18.75z/data=!4m14!1m7!3m6!1s0x31cc49efb91da86d:0x833a80956709fffd!2sKerinchi+LRT!8m2!3d3.1155334!4d101.6682838!16s%2Fg%2F11y1cz3k4k!3m5!1s0x31cc4986e87ef097:0x7f2330a5868a7c34!8m2!3d3.11551!4d101.66857!16s%2Fg%2F11c5_6p2nw?entry=ttu"
63,66,Universiti,Kelana Jaya,"https://www.google.com/maps/place/LRT+Universiti+Station+(KJ19)/@3.1201718,101.651502,15.25z/data=!4m6!3m5!1s0x31cc49802e8cbedd:0xd63a383a81368e8e!8m2!3d3.1145746!4d101.6617999!16s%2Fm%2F02669n2?entry=ttu"
64,67,Taman Jaya,Kelana Jaya,"https://www.google.com/maps/place/Taman+Jaya/@3.1040439,101.6427019,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4bdb69fcd9c1:0x392a991e63548cc0!8m2!3d3.1040439!4d101.6452768!16s%2Fm%2F02669ns?entry=ttu"
65,68,Asia Jaya,Kelana Jaya,"https://www.google.com/maps/place/Asia+Jaya/@3.104548,101.6358551,17z/data=!4m14!1m7!3m6!1s0x31cc4bdd5c97ae83:0x2b9a4f20f8abd36b!2sLRT+Asia+Jaya!8m2!3d3.103883!4d101.639146!16s%2Fg%2F11h4kwljdb!3m5!1s0x31cc4be7f2c00f55:0xbefa05b0a61c1884!8m2!3d3.1043534!4d101.6376961!16s%2Fg%2F11clsdx27v?entry=ttu"
66,69,Taman Paramount,Kelana Jaya,"https://www.google.com/maps/place/Taman+Paramount/@3.1047598,101.6215876,18.25z/data=!4m14!1m7!3m6!1s0x31cc4bfa46bc8db5:0x3c16b1c486a10824!2sLRT+Taman+Paramount!8m2!3d3.1048806!4d101.6229978!16s%2Fg%2F1wzs_wp7!3m5!1s0x31cc4bfa46bd6f59:0x57f96d0fb2d56390!8m2!3d3.1046914!4d101.6231599!16s%2Fg%2F1wb8r5_d?entry=ttu"
67,70,Taman Bahagia,Kelana Jaya,"https://www.google.com/maps/place/Taman+Bahagia/@3.110708,101.6101144,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4c01aaefb703:0xe9ed18531b362e5b!8m2!3d3.110708!4d101.6126893!16s%2Fm%2F02669pt?entry=ttu"
68,71,Kelana Jaya,Kelana Jaya,"https://www.google.com/maps/place/Kelana+Jaya+(KJ24)/@3.112442,101.6019581,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4c02b2ed513d:0xe5e10f777dde4f88!8m2!3d3.112442!4d101.604533!16s%2Fm%2F0264bwf?entry=ttu"
69,72,Lembah Subang,Kelana Jaya,"https://www.google.com/maps/place/Lembah+Subang/@3.1120902,101.5886648,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4e9e0ef8c681:0x7f519870530e453c!8m2!3d3.1120902!4d101.5912397!16s%2Fg%2F11cjj6m78r?entry=ttu"
70,73,Ara Damansara,Kelana Jaya,"https://www.google.com/maps/place/Ara+Damansara/@3.108643,101.5837971,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4c26a6eae415:0xc6f7bf1cc474aef8!8m2!3d3.108643!4d101.586372!16s%2Fg%2F11clgfndg7?entry=ttu"
71,74,Glenmarie,Kelana Jaya,"https://www.google.com/maps/place/CGC%E2%80%93Glenmarie+(KJ27)/@3.0953997,101.5894361,19.25z/data=!4m14!1m7!3m6!1s0x31cc4c3fad3c582f:0xb48c1ec6c849a460!2sGlenmarie+LRT+Station!8m2!3d3.0956282!4d101.5900452!16s%2Fg%2F11clgrtlt8!3m5!1s0x31cc4c3f98dd3581:0x757fc28d486ad30b!8m2!3d3.095934!4d101.5903136!16s%2Fg%2F11cn_7yqcl?entry=ttu"
72,75,Subang Jaya,Kelana Jaya,"https://www.google.com/maps/place/Subang+Jaya/@3.0841752,101.5854307,18z/data=!4m14!1m7!3m6!1s0x31cc4c5b5389f555:0x6fd65c6f6f3e4935!2sLRT+Subang+Jaya!8m2!3d3.084511!4d101.586612!16s%2Fg%2F11b776gwvy!3m5!1s0x31cc4c435a0b171d:0x64c64e5130b86bad!8m2!3d3.084627!4d101.587566!16s%2Fm%2F0267rpk?entry=ttu"
73,76,SS 15,Kelana Jaya,"https://www.google.com/maps/place/SS+15/@3.075972,101.5834081,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4c58dd718585:0x4439a752f6db640c!8m2!3d3.075972!4d101.585983!16s%2Fg%2F11cjj8s57r?entry=ttu"
74,77,SS 18,Kelana Jaya,"https://www.google.com/maps/place/SS18/@3.067182,101.5833701,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4cf172b661e7:0xdef543338c8e29d1!8m2!3d3.067182!4d101.585945!16s%2Fg%2F11clgn8yrs?entry=ttu"
75,78,USJ 7,Kelana Jaya,"https://www.google.com/maps/place/USJ7/@3.05496,101.5896151,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4ceabac381f7:0x681046d5b11e6856!8m2!3d3.05496!4d101.59219!16s%2Fg%2F11clghqh0v?entry=ttu"
76,79,Taipan,Kelana Jaya,"https://www.google.com/maps/place/Taipan/@3.0476899,101.5898284,19.75z/data=!4m14!1m7!3m6!1s0x31cc4cc6e024ff7f:0xf9e464418a7d6cce!2sLRT+Taipan!8m2!3d3.04806!4d101.59015!16s%2Fg%2F11vbcm9_ms!3m5!1s0x31cc4cc71ff76ac3:0x57a37f356c8a5abe!8m2!3d3.04815!4d101.590233!16s%2Fg%2F11c58qs2gk?entry=ttu"
77,80,Wawasan,Kelana Jaya,"https://www.google.com/maps/place/Wawasan/@3.035062,101.5857731,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4ccb4ec77d4b:0x98ba97b3ec05a373!8m2!3d3.035062!4d101.588348!16s%2Fg%2F11cjk2_4rn?entry=ttu"
